Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Philippines,PHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.789836348,4.718417047,3.026963911,2.582687661,3.597823439,0.674192537,1.253698801,2.853187726,5.211604606,2.480278587,2.635228849
Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.33449996,3.858232827,6.896951711,6.750531302,6.347987483,6.348309717,7.14945675,6.930988326,6.341485571,6.118525663,-9.573029875
Philippines,PHL,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,3.79,3.83,3.73,3.82,3.72,3.22,2.85,2.7,2.68,2.53,2.720000029
Philippines,PHL,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,3.49,3.44,3.36,3.29,3.52,2.97,2.6,2.46,2.13,2.05,2.400000095
Philippines,PHL,Consumer price index (2010 = 100),FP.CPI.TOTL,100,104.718417,107.8882057,110.6746211,114.6564986,115.4295041,116.8766424,120.2113525,126.4762928,129.6132572,133.0288632
Philippines,PHL,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,1.3,1.5,1.3,1.2,1,1.1,1.1,1.1,1.1,1.2,..
Philippines,PHL,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,3.4,4,3.5,3.5,3.5,3.5,3.4,3.3,3.2,3.1,..
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 12/16/2021,,,,,,,,,,,,,,
